Order,Material description,Material Number,Batch,Order quantity (GMEIN),Delivered quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,MRP controller,System Status,Actual finish date,Long txt exists
1030523,ESTAR R336HV,ESAR336HV-BLK01100,CF9004,"3,300.00","3,300.00",KG,2019-08-01,2019-08-02,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,1/8/2019,X
1030271,EPOKEY 868,ENK868000-DR000180,CH9009,"10,200.00","10,287.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,3/8/2019,
1030291,U-VAN 122,ENR122000-DR000200,CH9003,"3,213.10","3,114.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,2/8/2019,
1030292,U-VAN 20LS65A,ENR20L65A-DR000200,CH9013,"6,459.00","6,952.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,1/8/2019,
1030356,OLESTER AO-549,ENJAO5490-DR000200,CH9015,"7,117.50","6,904.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,1/8/2019,
1030438,OLESTER QC418HT,ENJQC418H-DR000200,CG9014,"6,920.80","7,360.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,30-07-19,
1030442,ALMATEX L1044S,ENFL1044S-DR000200,CH9002,"5,009.80","5,000.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,1/8/2019,
1030443,ALMATEX L2001,ENFL20010-DR000200,CH9006,"6,060.30","6,000.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,3/8/2019,
1030444,U-VAN 20SE65,ENR20SE65-DR000200,CH9007,"8,200.00","8,270.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,2/8/2019,
1030445,ALMATEX L2001,ENFL20010-DR000200,CH9007,"6,060.30","5,813.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,4/8/2019,
1030446,U-VAN 28-60,ENR286000-DR000200,CH9030,"6,982.00","6,892.00",KG,2019-08-01,2019-08-03,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,2/8/2019,
