Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030374,RB11,RKO10P224-BLK01200,10%POLY VINYL ALCOHOL 224E,CH9011,F02,PP01,"8,136.30",KG,2019-08-01,2019-08-03,1
1030451,RB11,RKA1301M0-DR000200,ACRYLAX-1301M,CH9004,F02,PP01,"1,700.00",KG,2019-08-01,2019-08-03,1
1030329,RB11,RKA220600-DRN00120,ACRYLAX-2206,CH9002,F02,PP01,"1,740.28",KG,2019-08-01,2019-08-03,1
1030450,RB11,RKA335500-DR000200,ACRYLAX-3355,CH9012,F02,PP01,"3,500.30",KG,2019-08-01,2019-08-03,1
1030376,RB11,RKA506000-DR000200,ACRYLAX-506,CH9070,F02,PP01,"11,710.00",KG,2019-08-01,2019-08-03,1
1030447,RB11,RKA506000-DR000200,ACRYLAX-506,CH9071,F02,PP01,"11,640.00",KG,2019-08-01,2019-08-03,1
1030449,RB11,RKA506000-DR000200,ACRYLAX-506,CH9072,F02,PP01,"9,452.56",KG,2019-08-01,2019-08-03,1
1030420,RB11,RKA9209A0-BLK01000,ACRYLAX-9209A,CH9001,F02,PP01,"5,217.11",KG,2019-08-01,2019-08-03,1
1030369,RB11,RKALA9055-DR000200,ALMATEX-A-9055,CH9001,F02,PP01,"1,596.00",KG,2019-08-01,2019-08-03,1
1030470,RB11,RKAL9086P-DR000200,ALMATEX-A-9086P,CH9007,F02,PP01,"7,289.10",KG,2019-08-01,2019-08-03,1
1030471,RB11,RKAL9086P-DR000200,ALMATEX-A-9086P,CH9008,F02,PP01,"7,289.10",KG,2019-08-01,2019-08-03,1
1030370,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9097,F02,PP01,"4,099.35",KG,2019-08-01,2019-08-03,1
1030371,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9098,F02,PP01,"4,099.35",KG,2019-08-01,2019-08-03,1
1030378,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9099,F02,PP01,"4,099.35",KG,2019-08-01,2019-08-03,1
1030452,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9100,F02,PP01,"4,099.35",KG,2019-08-01,2019-08-03,1
1030367,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CH9024,F02,PP01,"8,029.70",KG,2019-08-01,2019-08-03,1
1030366,RB11,RKVV221G0-DR000100,VINYLAX-221G,CH9015,F02,PP01,"8,245.00",KG,2019-08-01,2019-08-03,1
1030373,RB11,RKV6131N3-BLK01000,VINYLAX-6131N3,CH9020,F02,PP01,"7,184.88",KG,2019-08-01,2019-08-03,2
1030448,RB11,RKV6131N3-BLK01000,VINYLAX-6131N3,CH9021,F02,PP01,"8,476.00",KG,2019-08-01,2019-08-03,2
1030454,RB11,RKVV70600-DR000100,VINYLAX-706,CH9006,F02,PP01,"3,000.00",KG,2019-08-01,2019-08-03,1
