Order,Material description,Material Number,Batch,Order quantity (GMEIN),Delivered quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,MRP controller,System Status,Actual finish date,Long txt exists
1030966,ESTAR R336HV,ESAR336HV-BLK01100,CG9005,"3,300.00",0,KG,2019-01-09,2019-02-09,F01,REL  PRC  BASC BCRQ MANC SETC,,X
1030873,OLESTER AO-549,ENJAO5490-DR000200,CJ9017,"7,117.50",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030874,U-VAN 48B,ENR48B000-DR000200,CJ9034,"4,803.00",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030875,OLESTER Q266T,ENJQ266T0-DR000200,CJ9005,"3,048.95",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030876,U-VAN 20N60,ENR20N600-DR000200,CJ9123,"4,390.00",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030877,U-VAN 6020,ENR602000-DR000200,CJ9001,"3,711.53",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030878,OLESTER QC414T,ENJQC414T-DR000200,CJ9004,"7,080.20",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030879,U-VAN 20N60,ENR20N600-DR000200,CJ9124,"4,390.00",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030880,U-VAN 20N60,ENR20N600-DR000200,CJ9125,"8,573.00",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030926,ALMATEX R5-079,ENFR50790-DR000200,CJ9006,"6,988.80",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030927,U-VAN 28-60,ENR286000-DR000200,CJ9036,"6,982.00",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030928,U-VAN 48B,ENR48B000-DR000200,CJ9035,"8,022.00",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030929,ALMATEX P646,ENFP64600-DR000200,CJ9002,"10,062.00",0,KG,2019-01-09,2019-03-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030930,ALMATEX R5-079,ENFR50790-DR000200,CJ9007,"6,988.80",0,KG,2019-02-09,2019-04-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030931,OLESTER Q193X,ENJQ193X0-DR000200,CJ9010,"5,087.10",0,KG,2019-02-09,2019-04-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030932,U-VAN 20N60,ENR20N600-DR000200,CJ9126,"8,573.00",0,KG,2019-02-09,2019-04-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030933,ALMATEX C118T,ENFC118T0-DR000200,CJ9004,480,0,KG,2019-02-09,2019-04-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030940,SN-500B,RKOSN500B-CN000250,790901W,"1,399.39",0,KG,2019-02-09,2019-04-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030934,ALMATEX R5-079,ENFR50790-DR000200,CJ9008,"3,106.90",0,KG,2019-03-09,2019-05-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030935,OLESTER QC418HT,ENJQC418H-DR000200,CJ9025,"6,920.80",0,KG,2019-03-09,2019-05-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030936,U-VAN 20N60,ENR20N600-DR000200,CJ9127,"8,573.00",0,KG,2019-03-09,2019-05-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030941,SN-500B,RKOSN500B-CN000250,790902W,"1,399.39",0,KG,2019-03-09,2019-05-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030942,SN-500B,RKOSN500B-CN000250,790903W,"1,399.39",0,KG,2019-03-09,2019-05-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030937,ALMATEX L1044S,ENFL1044S-DR000200,CJ9003,"3,383.00",0,KG,2019-04-09,2019-06-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030938,OLESTER QC418HT,ENJQC418H-DR000200,CJ9026,"6,920.80",0,KG,2019-04-09,2019-06-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030939,U-VAN 20N60,ENR20N600-DR000200,CJ9128,"8,573.00",0,KG,2019-04-09,2019-06-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030943,SN-500B,RKOSN500B-CN000250,790904W,"1,399.39",0,KG,2019-04-09,2019-06-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030944,SN-500B,RKOSN500B-CN000250,790905W,"1,399.39",0,KG,2019-05-09,2019-07-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030945,SN-500B,RKOSN500B-CN000250,790906W,"1,399.39",0,KG,2019-05-09,2019-07-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030946,SN-500B,RKOSN500B-CN000250,790907W,"1,399.39",0,KG,2019-06-09,2019-08-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030984,ALMATEX B341,ENFB34100-DR000200,CJ9004,800,0,KG,2019-06-09,2019-08-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030947,SN-500B,RKOSN500B-CN000250,790908W,"1,399.39",0,KG,2019-09-09,2019-11-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030948,SN-500B,RKOSN500B-CN000250,790909W,"1,399.39",0,KG,2019-09-09,2019-11-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030949,SN-500B,RKOSN500B-CN000250,790910W,"1,399.39",0,KG,2019-10-09,2019-12-09,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030950,SN-500B,RKOSN500B-CN000250,790911W,"1,399.39",0,KG,2019-11-09,13-09-19,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030951,SN-500B,RKOSN500B-CN000250,790912W,"1,399.39",0,KG,2019-11-09,13-09-19,F01,REL  PRC  BASC BCRQ MANC SETC,,
