Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1031782,RB11,UGPPN1926-BLK01000,THAMOL PN-1926,CK9007,F03,PP01,"10,101.100",KG,2019-10-21,2019-10-23,0002
1031783,RB11,UGPLR1403-DR000200,THAMOL TLR-1403,CK9007,F03,PP01,"2,008.000",KG,2019-10-21,2019-10-23,0002
1031785,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CK9077,F03,PP01,"5,640.000",KG,2019-10-21,2019-10-23,0001
1031786,RB11,UGPMP2164-DR000200,MP-2164(D),CK9082,F03,PP01,"1,788.000",KG,2019-10-21,2019-10-23,0002
1031787,RB11,UGPMP2164-DR000200,MP-2164(D),CK9083,F03,PP01,"1,788.000",KG,2019-10-21,2019-10-23,0002
1031789,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CK9079,F03,PP01,"1,580.000",KG,2019-10-22,2019-10-24,0002
1031791,RB11,UGP125KTH-DR000200,Actcol TUF-125K(TH),CK9009,F03,PP01,"5,197.440",KG,2019-10-25,2019-10-27,0003
1031792,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CK9078,F03,PP01,"5,640.000",KG,2019-10-22,2019-10-24,0001
1031793,RB11,UGPH1015A-BLK01000,HARD-1015-A,CK9027,F03,PP01,"10,001.950",KG,2019-10-22,2019-10-24,0008
1031794,RB11,UGPMP2164-DR000200,MP-2164(D),CK9084,F03,PP01,"1,788.000",KG,2019-10-22,2019-10-24,0002
1031795,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CK9080,F03,PP01,"1,580.000",KG,2019-10-24,2019-10-26,0002
1031805,RB11,UGPLR1400-DR000200,THAMOL TLR-1400,CK9012,F03,PP01,"5,020.000",KG,2019-10-22,2019-10-24,0001
1031840,RB11,UGPMS1932-DR000200,THAMOL MS-1932,CK9005,F03,PP01,"3,327.500",KG,2019-10-21,2019-10-23,0001
1031841,RB11,UGMCG320R-DR000230,COSMONATE CG-3200,19009320,F03,PP01,"1,610.000",KG,2019-10-21,2019-10-23,0001
1031842,RB11,UGMCG320R-DR000230,COSMONATE CG-3200,19010320,F03,PP01,"1,840.000",KG,2019-10-21,2019-10-23,0001
1031854,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CK9025,F03,PP01,"10,203.000",KG,2019-10-24,2019-10-26,0001
1031855,RB11,UGPHD1440-BLK01100,THAMOL HARD-1440,CK9032,F03,PP01,"5,599.800",KG,2019-10-24,2019-10-26,0002
1031856,RB11,UGPPN1815-DR000200,THAMOL PN-1815,CK9011,F03,PP01,"3,051.500",KG,2019-10-24,2019-10-26,0001
1031858,RB11,UGPMP2164-DR000200,MP-2164(D),CK9085,F03,PP01,"1,788.000",KG,2019-10-24,2019-10-26,0002
