Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030498,RB11,ENJQC418H-DR000200,OLESTER QC418HT,CH9017,F01,PP01,"6,920.800",KG,2019-08-20,2019-08-22,0002
1030499,RB11,ENRMB30T0-DR000200,U-VAN MB30T,CH9010,F01,PP01,"7,178.000",KG,2019-08-15,2019-08-17,0001
1030502,RB11,ENJQC418H-DR000200,OLESTER QC418HT,CH9018,F01,PP01,"6,920.800",KG,2019-08-21,2019-08-23,0002
1030651,RB11,ENJAO5290-DR000200,OLESTER AO-529,CH9013,F01,PP01,"7,148.900",KG,2019-08-16,2019-08-18,0001
1030652,RB11,ENR20N600-DR000200,U-VAN 20N60,CH9118,F01,PP01,"4,390.000",KG,2019-08-16,2019-08-18,0002
1030653,RB11,ENJAO5490-DR000200,OLESTER AO-549,CH9016,F01,PP01,"7,117.500",KG,2019-08-17,2019-08-19,0001
1030654,RB11,ENR20N600-DR000200,U-VAN 20N60,CH9119,F01,PP01,"4,390.000",KG,2019-08-17,2019-08-19,0002
1030655,RB11,ENR20N600-DR000200,U-VAN 20N60,CH9120,F01,PP01,"8,573.000",KG,2019-08-17,2019-08-19,0001
1030657,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CH9080,F01,PP01,"4,000.000",KG,2019-08-16,2019-08-17,0001
1030658,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CH9081,F01,PP01,"4,000.000",KG,2019-08-20,2019-08-21,0001
1030659,RB11,RKPR14100-DR000160,POLYMAL R141,CH9024,F01,PP01,145.000,KG,2019-08-15,2019-08-16,0001
1030660,RB11,RKOSN500A-CN000250,SN-500A,790801W,F01,PP01,"1,275.650",KG,2019-08-15,2019-08-17,0002
1030661,RB11,RKOSN500A-CN000250,SN-500A,790802W,F01,PP01,"1,275.650",KG,2019-08-15,2019-08-17,0002
1030662,RB11,RKOSN500A-CN000250,SN-500A,790803W,F01,PP01,"1,275.650",KG,2019-08-16,2019-08-18,0002
1030663,RB11,RKOSN500A-CN000250,SN-500A,790804W,F01,PP01,"1,275.650",KG,2019-08-16,2019-08-18,0002
1030664,RB11,RKOSN500A-CN000250,SN-500A,790805W,F01,PP01,"1,275.650",KG,2019-08-17,2019-08-19,0002
1030665,RB11,RKOSN500A-CN000250,SN-500A,790806W,F01,PP01,"1,275.650",KG,2019-08-17,2019-08-19,0002
1030666,RB11,RKOSN500A-CN000250,SN-500A,790807W,F01,PP01,"1,275.650",KG,2019-08-19,2019-08-21,0002
1030667,RB11,RKOSN500A-CN000250,SN-500A,790808W,F01,PP01,"1,275.650",KG,2019-08-19,2019-08-21,0002
1030668,RB11,RKOSN500A-CN000250,SN-500A,790809W,F01,PP01,"1,275.650",KG,2019-08-20,2019-08-22,0002
1030669,RB11,RKOSN500A-CN000250,SN-500A,790810W,F01,PP01,"1,275.650",KG,2019-08-20,2019-08-22,0002
1030670,RB11,RKOSN500A-CN000250,SN-500A,790811W,F01,PP01,"1,275.650",KG,2019-08-21,2019-08-23,0002
1030671,RB11,RKOSN500A-CN000250,SN-500A,790812W,F01,PP01,"1,275.650",KG,2019-08-21,2019-08-23,0002
1030695,RB11,ENR220000-DR000200,U-VAN 220,CH9008,F01,PP01,"2,699.900",KG,2019-08-15,2019-08-17,0002
1030711,RB11,ENR48B000-DR000200,U-VAN 48B,CH9031,F01,PP01,"4,803.000",KG,2019-08-18,2019-08-20,0002
1030712,RB11,ENR62E000-DR000200,U-VAN 62E,CH9011,F01,PP01,"7,973.000",KG,2019-08-18,2019-08-20,0001
1030713,RB11,ENJQC4120-DR000200,OLESTER QC412,CH9012,F01,PP01,"7,035.900",KG,2019-08-19,2019-08-21,0001
1030714,RB11,ENR286000-DR000200,U-VAN 28-60,CH9032,F01,PP01,"6,982.000",KG,2019-08-19,2019-08-21,0001
1030715,RB11,ENR286000-DR000200,U-VAN 28-60,CH9033,F01,PP01,"6,982.000",KG,2019-08-19,2019-08-21,0001
1030716,RB11,ENJQR331T-DR000200,OLESTER QR331T,CH9023,F01,PP01,"6,492.000",KG,2019-08-20,2019-08-22,0001
1030717,RB11,ENR202000-DR000200,U-VAN 2020,CH9007,F01,PP01,"4,630.000",KG,2019-08-20,2019-08-22,0001
1030718,RB11,ENFL90900-DR000200,ALMATEX L9090,CH9009,F01,PP01,"7,083.200",KG,2019-08-21,2019-08-23,0001
1030719,RB11,ENR925T70-DR000200,U-VAN 925T-70,CH9015,F01,PP01,"8,114.000",KG,2019-08-21,2019-08-23,0001
1030723,RB11,RKP980200-DR000200,POLYMAL 9802,CH9004,F01,PP01,"15,800.000",KG,2019-08-21,2019-08-23,0001
