Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030271,RB11,ENK868000-DR000180,EPOKEY 868,CH9009,F01,PP01,"10,200.000",KG,8/1/2019,8/3/2019,0001
1030279,RB11,ENK868000-DR000180,EPOKEY 868,CH9010,F01,PP01,"10,200.000",KG,8/3/2019,8/5/2019,0001
1030291,RB11,ENR122000-DR000200,U-VAN 122,CH9003,F01,PP01,"3,213.100",KG,8/1/2019,8/3/2019,0002
1030292,RB11,ENR20L65A-DR000200,U-VAN 20LS65A,CH9013,F01,PP01,"6,459.000",KG,8/1/2019,8/3/2019,0001
1030329,RB11,RKA220600-DRN00120,ACRYLAX-2206,CH9002,F02,PP01,"1,740.280",KG,8/1/2019,8/3/2019,0001
1030333,RB11,UGPH1015A-BLK01000,HARD-1015-A,CG9021,F03,PP01,"7,034.400",KG,7/30/2019,8/1/2019,0008
1030334,RB11,UGPMP2164-DR000200,MP-2164(D),CG9057,F03,PP01,"1,788.000",KG,7/31/2019,8/2/2019,0002
1030343,RB11,ERABW5600-KY000036,STRUCT BOND BW-5600,CF9019,F02,PP01,"1,269.000",KG,7/30/2019,7/30/2019,0001
1030344,RB11,RKA3345P0-DR000200,ACRYLAX-3345P,CG9030,F02,PP01,"11,200.000",KG,7/31/2019,7/31/2019,0001
1030345,RB11,RKA106500-BLK01000,ACRYLAX-1065,CF9011,F02,PP01,"3,960.000",KG,7/30/2019,7/30/2019,0001
1030356,RB11,ENJAO5490-DR000200,OLESTER AO-549,CH9015,F01,PP01,"7,117.500",KG,8/1/2019,8/3/2019,0001
1030357,RB11,UGPVB443A-BLK01000,VB-443-A,CG9028,F03,PP01,"5,000.000",KG,7/30/2019,8/1/2019,0002
1030358,RB11,UGPAF1441-DR000200,THAMOL AF-1441,CG9003,F03,PP01,700.000,KG,7/30/2019,8/1/2019,0001
1030360,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CG9047,F03,PP01,"10,074.920",KG,7/31/2019,8/2/2019,0008
1030361,RB11,UGPBK009A-BLK01000,BACK-009-A,CH9016,F03,PP01,"5,000.000",KG,8/2/2019,8/4/2019,0002
1030362,RB11,UGPSD1538-DR000200,THAMOL SD-1538,CG9014,F03,PP01,"6,145.100",KG,7/31/2019,8/2/2019,0002
1030363,RB11,RKA950900-BLK01000,ACRYLAX-9509,CF9015,F02,PP01,"4,000.000",KG,7/31/2019,7/31/2019,0001
1030364,RB11,RKA950900-BLK01000,ACRYLAX-9509,CF9016,F02,PP01,"6,000.000",KG,7/31/2019,7/31/2019,0001
1030365,RB11,ERAVU8800-DR000100,STRUCT BOND VU-880,CE9005,F02,PP01,600.000,KG,7/30/2019,7/30/2019,0001
1030366,RB11,RKVV221G0-DR000100,VINYLAX-221G,CH9015,F02,PP01,"8,245.000",KG,8/1/2019,8/3/2019,0001
1030367,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CH9024,F02,PP01,"8,029.700",KG,8/1/2019,8/3/2019,0001
1030369,RB11,RKALA9055-DR000200,ALMATEX-A-9055,CH9001,F02,PP01,"1,596.000",KG,8/1/2019,8/3/2019,0001
1030370,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9097,F02,PP01,"4,099.350",KG,8/1/2019,8/3/2019,0001
1030371,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9098,F02,PP01,"4,099.350",KG,8/1/2019,8/3/2019,0001
1030372,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CH9036,F02,PP01,"1,042.400",KG,8/1/2019,8/3/2019,0001
1030373,RB11,RKV6131N3-BLK01000,VINYLAX-6131N3,CH9020,F02,PP01,"7,184.880",KG,8/1/2019,8/3/2019,0002
1030374,RB11,RKO10P224-BLK01200,10%POLY VINYL ALCOHOL 224E,CH9011,F02,PP01,"8,136.300",KG,8/1/2019,8/3/2019,0001
1030376,RB11,RKA506000-DR000200,ACRYLAX-506,CH9070,F02,PP01,"11,710.000",KG,8/1/2019,8/3/2019,0001
1030378,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9099,F02,PP01,"4,099.350",KG,8/1/2019,8/3/2019,0001
1030379,RB11,UGPPN1874-DR000200,THAMOL PN-1874,CG9008,F03,PP01,"2,112.800",KG,7/30/2019,8/1/2019,0001
1030418,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CF9017,F02,PP01,"2,871.000",KG,8/3/2019,8/3/2019,0001
1030419,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CF9018,F02,PP01,"1,180.000",KG,8/3/2019,8/3/2019,0001
1030420,RB11,RKA9209A0-BLK01000,ACRYLAX-9209A,CH9001,F02,PP01,"5,217.110",KG,8/1/2019,8/3/2019,0001
1030428,RB11,ENGAL9039-BLK01000,ALMATEX-A-9039,CF9007,F02,PP01,"4,000.000",KG,8/2/2019,8/2/2019,0001
1030429,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CH9018,F03,PP01,"10,203.000",KG,8/1/2019,8/3/2019,0001
1030430,RB11,ENGAL9039-BLK01000,ALMATEX-A-9039,CF9008,F02,PP01,"1,000.000",KG,8/2/2019,8/2/2019,0001
1030431,RB11,RKVV60450-BX000020,VINYLAX-6045,CG9004,F02,PP01,"1,070.000",KG,8/5/2019,8/5/2019,0001
1030432,RB11,RKA3345P0-DR000200,ACRYLAX-3345P,CG9031,F02,PP01,"5,500.000",KG,8/5/2019,8/5/2019,0001
1030433,RB11,RKVBW3006-DR000100,BONDWOOD-3006,CG9005,F02,PP01,"5,127.000",KG,7/31/2019,7/31/2019,0002
1030434,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CH9022,F03,PP01,"10,017.950",KG,8/1/2019,8/3/2019,0006
1030435,RB11,RKVBW3130-DR000100,BONDWOOD-313,CG9007,F02,PP01,"7,000.000",KG,7/31/2019,7/31/2019,0002
1030436,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CH9019,F03,PP01,"10,203.000",KG,8/2/2019,8/4/2019,0001
1030437,RB11,UGPHD1440-BLK01100,THAMOL HARD-1440,CH9023,F03,PP01,"10,074.000",KG,8/2/2019,8/4/2019,0010
1030438,RB11,ENJQC418H-DR000200,OLESTER QC418HT,CG9014,F01,PP01,"6,920.800",KG,8/1/2019,8/3/2019,0002
1030440,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG9072,F01,PP01,"4,000.000",KG,7/30/2019,7/31/2019,0001
1030441,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG9073,F01,PP01,"4,000.000",KG,7/31/2019,8/1/2019,0001
