Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030499,RB11,ENRMB30T0-DR000200,U-VAN MB30T,CH9010,F01,PP01,"7,178.00",KG,2019-08-15,2019-08-17,1
1030660,RB11,RKOSN500A-CN000250,SN-500A,790801W,F01,PP01,"1,275.65",KG,2019-08-15,2019-08-17,2
1030661,RB11,RKOSN500A-CN000250,SN-500A,790802W,F01,PP01,"1,275.65",KG,2019-08-15,2019-08-17,2
1030695,RB11,ENR220000-DR000200,U-VAN 220,CH9008,F01,PP01,"2,699.90",KG,2019-08-15,2019-08-17,2
1030651,RB11,ENJAO5290-DR000200,OLESTER AO-529,CH9013,F01,PP01,"7,148.90",KG,2019-08-16,2019-08-18,1
1030652,RB11,ENR20N600-DR000200,U-VAN 20N60,CH9118,F01,PP01,"4,390.00",KG,2019-08-16,2019-08-18,2
1030657,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CH9080,F01,PP01,"4,000.00",KG,2019-08-16,2019-08-17,1
1030662,RB11,RKOSN500A-CN000250,SN-500A,790803W,F01,PP01,"1,275.65",KG,2019-08-16,2019-08-18,2
1030663,RB11,RKOSN500A-CN000250,SN-500A,790804W,F01,PP01,"1,275.65",KG,2019-08-16,2019-08-18,2
1030653,RB11,ENJAO5490-DR000200,OLESTER AO-549,CH9016,F01,PP01,"7,117.50",KG,2019-08-17,2019-08-19,1
1030654,RB11,ENR20N600-DR000200,U-VAN 20N60,CH9119,F01,PP01,"4,390.00",KG,2019-08-17,2019-08-19,2
1030655,RB11,ENR20N600-DR000200,U-VAN 20N60,CH9120,F01,PP01,"8,573.00",KG,2019-08-17,2019-08-19,1
1030659,RB11,RKPR14100-DR000160,POLYMAL R141,CH9024,F01,PP01,145,KG,2019-08-17,2019-08-18,1
1030664,RB11,RKOSN500A-CN000250,SN-500A,790805W,F01,PP01,"1,275.65",KG,2019-08-17,2019-08-19,2
1030665,RB11,RKOSN500A-CN000250,SN-500A,790806W,F01,PP01,"1,275.65",KG,2019-08-17,2019-08-19,2
1030711,RB11,ENR48B000-DR000200,U-VAN 48B,CH9031,F01,PP01,"4,803.00",KG,2019-08-18,2019-08-20,2
1030712,RB11,ENR62E000-DR000200,U-VAN 62E,CH9011,F01,PP01,"7,973.00",KG,2019-08-18,2019-08-20,1
1030666,RB11,RKOSN500A-CN000250,SN-500A,790807W,F01,PP01,"1,275.65",KG,2019-08-19,2019-08-21,2
1030667,RB11,RKOSN500A-CN000250,SN-500A,790808W,F01,PP01,"1,275.65",KG,2019-08-19,2019-08-21,2
1030713,RB11,ENJQC4120-DR000200,OLESTER QC412,CH9012,F01,PP01,"7,035.90",KG,2019-08-19,2019-08-21,1
1030714,RB11,ENR286000-DR000200,U-VAN 28-60,CH9032,F01,PP01,"6,982.00",KG,2019-08-19,2019-08-21,1
1030715,RB11,ENR286000-DR000200,U-VAN 28-60,CH9033,F01,PP01,"6,982.00",KG,2019-08-19,2019-08-21,1
1030498,RB11,ENJQC418H-DR000200,OLESTER QC418HT,CH9017,F01,PP01,"6,920.80",KG,2019-08-20,2019-08-22,2
1030658,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CH9081,F01,PP01,"4,000.00",KG,2019-08-20,2019-08-21,1
1030668,RB11,RKOSN500A-CN000250,SN-500A,790809W,F01,PP01,"1,275.65",KG,2019-08-20,2019-08-22,2
1030669,RB11,RKOSN500A-CN000250,SN-500A,790810W,F01,PP01,"1,275.65",KG,2019-08-20,2019-08-22,2
1030716,RB11,ENJQR331T-DR000200,OLESTER QR331T,CH9023,F01,PP01,"6,492.00",KG,2019-08-20,2019-08-22,1
1030717,RB11,ENR202000-DR000200,U-VAN 2020,CH9007,F01,PP01,"4,630.00",KG,2019-08-20,2019-08-22,1
