Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1032874,RB11,ENJAO5290-DR000200,OLESTER AO-529,CA0001,F01,PP01,7148.90,KG,2020-01-03,2020-01-05,0001
1032875,RB11,ENFL90900-DR000200,ALMATEX L9090,CA0001,F01,PP01,7083.20,KG,2020-01-03,2020-01-05,0001
1032876,RB11,ENR286000-DR000200,U-VAN 28-60,CA0001,F01,PP01,6982.00,KG,2020-01-03,2020-01-05,0001
1032877,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA0001,F01,PP01,4000.00,KG,2020-01-03,2020-01-04,0001
1032899,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CA0001,F02,PP01,8029.70,KG,2020-01-03,2020-01-05,0001
1032900,RB11,RKA731300-BLK01000,ACRYLAX-7313,CA0001,F02,PP01,2212.27,KG,2020-01-03,2020-01-05,0001
1032901,RB11,ENGSE2013-BLK01000,ALMATEX SE 2013,CA0001,F02,PP01,9519.12,KG,2020-01-03,2020-01-05,0001
1032902,RB11,RKA3351H1-DR000200,ACRYLAX-3351HB-10,CA0001,F02,PP01,1702.45,KG,2020-01-03,2020-01-05,0001
1032903,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CA0001,F02,PP01,4099.35,KG,2020-01-03,2020-01-05,0001
1032933,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CA0001,F03,PP01,9977.04,KG,2020-01-03,2020-01-05,0008
1032934,RB11,UGPVB443A-BLK01000,VB-443-A,CA0001,F03,PP01,5000.00,KG,2020-01-03,2020-01-05,0002
1032935,RB11,UGPSC1839-DR000200,THAMOL SC-1839,CA0001,F03,PP01,1009.71,KG,2020-01-03,2020-01-05,0004
1032936,RB11,UGPRG1818-BLK01000,THAMOL RG-1818,CA0001,F03,PP01,5171.04,KG,2020-01-03,2020-01-05,0001
1033029,RB11,UGPY5613R-BLK02500,Y-5613  ,C11180Y,F03,PP01,1890.00,KG,2020-01-03,2020-01-05,0001
1032878,RB11,ENJBWT028-DR000200,OLESTER BWT-028,CA0001,F01,PP01,6300.00,KG,2020-01-04,2020-01-06,0001
1032879,RB11,ENJQC4175-DR000200,OLESTER QC417-5,CA0001,F01,PP01,7023.40,KG,2020-01-04,2020-01-06,0001
1032880,RB11,ENR286000-DR000200,U-VAN 28-60,CA0002,F01,PP01,6982.00,KG,2020-01-04,2020-01-06,0001
1032904,RB11,RKO10P224-BLK01200,10%POLY VINYL ALCOHOL 224E,CA0001,F02,PP01,8136.30,KG,2020-01-04,2020-01-06,0001
1032905,RB11,RKV6131N3-BLK01000,VINYLAX-6131N3,CA0001,F02,PP01,5200.00,KG,2020-01-04,2020-01-06,0001
1032906,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CA0001,F02,PP01,11474.00,KG,2020-01-04,2020-01-06,0002
1032907,RB11,RKA952100-DR000200,ACRYLAX-9521,CA0001,F02,PP01,5191.28,KG,2020-01-04,2020-01-06,0001
1032908,RB11,ENGAL583W-BLK01000,ALMATEX-A-583W,CA0001,F02,PP01,5262.58,KG,2020-01-04,2020-01-06,0001
