Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1033239,RB11,RKA890700-BLK01000,ACRYLAX-8907,CA0001,F02,PP01,"9,677.000",KG,2020-01-27,2020-01-27,0001
1033277,RB11,RKOSN500A-CN000250,SN-500A,700113W,F01,PP01,"1,275.650",KG,2020-01-27,2020-01-29,0002
1033326,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CL9019,F02,PP01,"2,177.000",KG,2020-01-27,2020-01-27,0001
1033327,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CM9020,F02,PP01,840.000,KG,2020-01-27,2020-01-27,0001
1033346,RB11,ENR286000-DR000200,U-VAN 28-60,CA0005,F01,PP01,"6,982.000",KG,2020-01-27,2020-01-29,0001
1033350,RB11,UGPRG1818-BLK01000,THAMOL RG-1818,CA0005,F03,PP01,"10,473.780",KG,2020-01-27,2020-01-29,0003
1033351,RB11,UGPVB443A-BLK01000,VB-443-A,CA0003,F03,PP01,"5,000.000",KG,2020-01-27,2020-01-29,0002
1033352,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CA0011,F03,PP01,"5,640.000",KG,2020-01-27,2020-01-29,0001
1033353,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CA0012,F03,PP01,"5,640.000",KG,2020-01-27,2020-01-29,0001
1033354,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CA0005,F03,PP01,"1,580.000",KG,2020-01-27,2020-01-29,0002
1033355,RB11,UGPSL1960-DR000200,THAMOL SL-1960,CA0001,F03,PP01,584.100,KG,2020-01-27,2020-01-29,0002
1033366,RB11,UGPPN1874-DR000200,THAMOL PN-1874,CA0004,F03,PP01,"1,848.700",KG,2020-01-27,2020-01-29,0001
1033372,RB11,ERAVU8800-KY000036,STRUCT BOND VU-880,CM9012,F02,PP01,108.000,KG,2020-01-27,2020-01-27,0001
1033375,RB11,RKVBW3006-DR000100,BONDWOOD-3006,CL9007,F02,PP01,236.000,KG,2020-01-27,2020-01-27,0002
1033378,RB11,ENGAL9009-DR000100,ALMATEX-A-9009,CA0001,F02,PP01,700.000,KG,2020-01-27,2020-01-27,0001
1033379,RB11,UGMTM1917-DR000230,THAMATE-1917,CA0001,F03,PP01,"5,000.000",KG,2020-01-27,2020-01-29,0001
1033384,RB11,RKPR14100-DR000160,POLYMAL R141,CA0003,F01,PP01,145.000,KG,2020-01-27,2020-01-28,0001
1033396,RB11,ENGAL9009-DR000200,ALMATEX-A-9009,CM9027,F02,PP01,"1,000.000",KG,2020-01-27,2020-01-27,0001
