Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030279,RB11,ENK868000-DR000180,EPOKEY 868,CG9010,F01,PP01,"10,200.000",KG,25-07-19,28-07-19,0001
1030280,RB11,ENJBWT028-DR000200,OLESTER BWT-028,CG9015,F01,PP01,"6,300.000",KG,25-07-19,27-07-19,0001
1030281,RB11,ENR286000-DR000200,U-VAN 28-60,CG9029,F01,PP01,"6,982.000",KG,25-07-19,27-07-19,0001
1030286,RB11,RKPR14100-DR000160,POLYMAL R141,CG9021,F01,PP01,145.000,KG,25-07-19,26-07-19,0001
1030297,RB11,RKOSN500A-CN000250,SN-500A,790709W,F01,PP01,"1,275.650",KG,25-07-19,27-07-19,0002
1030298,RB11,RKOSN500A-CN000250,SN-500A,790710W,F01,PP01,"1,275.650",KG,25-07-19,27-07-19,0002
1030305,RB11,RKA890700-BLK01000,ACRYLAX-8907,CF9011,F02,PP01,"10,240.000",KG,25-07-19,25-07-19,0001
1030312,RB11,UGPHR1449-DR000200,THAMOL HR-1449,CG9011,F03,PP01,"10,206.000",KG,25-07-19,27-07-19,0002
1030314,RB11,UGPMP2164-DR000200,MP-2164(D),CG9056,F03,PP01,"1,788.000",KG,25-07-19,27-07-19,0002
1030320,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CG9046,F03,PP01,"9,646.200",KG,25-07-19,27-07-19,0008
1030325,RB11,RKA730700-DR000100,ACRYLAX-7307,CG9008,F02,PP01,"8,500.000",KG,25-07-19,27-07-19,0001
1030327,RB11,ENGAL2600-BLK01000,ALMATEX-A-260,CG9003,F02,PP01,"10,500.000",KG,25-07-19,27-07-19,0001
1030328,RB11,RKA9612BT-BLK06000,ACRYLAX-9612BT,CG9065,F02,PP01,"5,333.200",KG,25-07-19,27-07-19,0001
1030337,RB11,UGPPN1815-DR000200,THAMOL PN-1815,CG9006,F03,PP01,"2,075.020",KG,25-07-19,27-07-19,0001
1030340,RB11,UGMCM200R-KY000050,COSMONATE M-200,CC9002,F02,PP01,200.000,KG,25-07-19,25-07-19,0001
1030347,RB11,RKVBW3200-DR000100,BONDWOOD-3200 (IN),CG9019,F02,PP01,"1,200.000",KG,25-07-19,27-07-19,0001
1030348,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CG9096,F02,PP01,"4,099.350",KG,25-07-19,27-07-19,0001
1030439,RB11,UGPY5613R-BLK02500,Y-5613  ,C00790Y,F03,PP01,"20,000.000",KG,25-07-19,27-07-19,0001
