Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030914,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CJ9021,F03,PP01,"10,203.00",KG,2019-09-02,2019-09-04,1
1030915,RB11,UGPVB443A-BLK01000,VB-443-A,CJ9031,F03,PP01,"5,000.00",KG,2019-09-02,2019-09-04,2
1030916,RB11,UGPHL4560-DR000200,THAMOL HL-456,CJ9020,F03,PP01,"5,228.28",KG,2019-09-02,2019-09-04,2
1030917,RB11,UGPH1015A-BLK01000,HARD-1015-A,CJ9023,F03,PP01,"10,000.00",KG,2019-09-03,2019-09-05,8
1030918,RB11,UGPAF1502-DR000200,THAMOL AF-1502,CJ9012,F03,PP01,"1,355.52",KG,2019-09-02,2019-09-04,1
1030919,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CJ9022,F03,PP01,"10,203.00",KG,2019-09-03,2019-09-05,1
1030920,RB11,UGPBK009A-BLK01000,BACK-009-A,CJ9020,F03,PP01,"5,034.17",KG,2019-09-03,2019-09-05,2
1030921,RB11,UGPHL4560-DR000200,THAMOL HL-456,CJ9021,F03,PP01,"5,228.28",KG,2019-09-03,2019-09-05,2
1030922,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CJ9025,F03,PP01,"9,965.90",KG,2019-09-02,2019-09-04,6
1030923,RB11,UGPMP2164-DR000200,MP-2164(D),CJ9072,F03,PP01,"1,788.00",KG,2019-09-03,2019-09-05,2
