Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027795,RB11,RKUUVAMBP-DR000200,U-VAN MBP,CC9005,F01,PP01,225.000,KG,18-03-19,20-03-19,0001
1027957,RB11,RKOSN500A-CN000250,SN-500A,790307W,F01,PP01,"1,275.650",KG,18-03-19,20-03-19,0002
1028036,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CA9002,F02,PP01,336.000,KG,18-03-19,18-03-19,0001
1028037,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CB9003,F02,PP01,"3,853.000",KG,18-03-19,18-03-19,0001
1028038,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CC9004,F02,PP01,880.000,KG,18-03-19,18-03-19,0001
1028060,RB11,ENR20N600-DR000200,U-VAN 20N60,CC9052,F01,PP01,"4,390.000",KG,18-03-19,20-03-19,0002
1028061,RB11,ENR13T000-DR000200,U-VAN 13T,CC9001,F01,PP01,"6,775.000",KG,18-03-19,20-03-19,0002
1028063,RB11,ENFTL2160-DR000200,ALMATEX TL-216,CC9001,F01,PP01,"3,234.200",KG,18-03-19,20-03-19,0002
1028080,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CC9018,F02,PP01,"5,173.000",KG,18-03-19,18-03-19,0002
1028095,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CC9022,F03,PP01,"1,580.000",KG,18-03-19,20-03-19,0002
1028096,RB11,RKVV61010-DR000100,VINYLAX-6101,CC9003,F02,PP01,"8,000.000",KG,18-03-19,20-03-19,0001
1028098,RB11,ENGAL2910-BLK01000,ALMATEX-A-291,CC9004,F02,PP01,"12,000.000",KG,18-03-19,20-03-19,0001
1028099,RB11,RKA105700-DR000200,ACRYLAX-1057,CC9004,F02,PP01,"8,709.000",KG,18-03-19,20-03-19,0001
1028100,RB11,RKA405000-DR000100,ACRYLAX-405,CC9004,F02,PP01,"5,034.000",KG,18-03-19,20-03-19,0001
1028101,RB11,RKVBW3200-DR000100,BONDWOOD-3200 (IN),CC9006,F02,PP01,"1,500.000",KG,18-03-19,20-03-19,0001
1028102,RB11,RKUP55000-BLK01000,U-RAMIN P-5500,CC9012,F02,PP01,"4,620.320",KG,18-03-19,20-03-19,0001
1028103,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CC9014,F02,PP01,"1,040.000",KG,18-03-19,20-03-19,0001
1028105,RB11,RKVV70600-DR000100,VINYLAX-706,CC9003,F02,PP01,"3,000.000",KG,18-03-19,21-03-19,0001
1028118,RB11,UGP125KTH-DR000200,Actcol TUF-125K(TH),CC9003,F03,PP01,"5,209.440",KG,18-03-19,18-03-19,0004
1028121,RB11,UGPVB443A-BLK01000,VB-443-A,CC9008,F03,PP01,"5,000.000",KG,18-03-19,20-03-19,0007
1028124,RB11,UGMTM1722-DR000230,THAMATE-1722,CC9028,F03,PP01,"5,000.000",KG,18-03-19,20-03-19,0005
1028128,RB11,UGP030400-DR000200,XRF-0304,CC9002,F03,PP01,"4,400.000",KG,18-03-19,20-03-19,0001
1028134,RB11,UGPRG1818-BLK01000,THAMOL RG-1818,CC9008,F03,PP01,"9,803.430",KG,18-03-19,20-03-19,0001
1028147,RB11,ENGAL9009-DR000200,ALMATEX-A-9009,CC9008,F02,PP01,"1,000.000",KG,18-03-19,18-03-19,0001
1028148,RB11,ENGAL9009-DR000100,ALMATEX-A-9009,CC9008,F02,PP01,400.000,KG,18-03-19,18-03-19,0001
