Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1028036,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CA9002,F02,PP01,336.000,KG,18-03-19,18-03-19,0001
1028037,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CB9003,F02,PP01,"3,853.000",KG,18-03-19,18-03-19,0001
1028038,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CC9004,F02,PP01,880.000,KG,18-03-19,18-03-19,0001
1028061,RB11,ENR13T000-DR000200,U-VAN 13T,CC9001,F01,PP01,"6,775.000",KG,18-03-19,20-03-19,0002
1028063,RB11,ENFTL2160-DR000200,ALMATEX TL-216,CC9001,F01,PP01,"3,234.200",KG,18-03-19,20-03-19,0002
1028080,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CC9018,F02,PP01,"5,173.000",KG,18-03-19,18-03-19,0002
1028095,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CC9022,F03,PP01,"1,580.000",KG,18-03-19,20-03-19,0002
1028096,RB11,RKVV61010-DR000100,VINYLAX-6101,CC9003,F02,PP01,"8,000.000",KG,18-03-19,20-03-19,0001
1028098,RB11,ENGAL2910-BLK01000,ALMATEX-A-291,CC9004,F02,PP01,"12,000.000",KG,18-03-19,20-03-19,0001
1028099,RB11,RKA105700-DR000200,ACRYLAX-1057,CC9004,F02,PP01,"8,709.000",KG,18-03-19,20-03-19,0001
