Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1029387,RB11,UGP030400-DR000200,XRF-0304,CF9004,F03,PP01,"5,400.000",KG,03-06-19,05-06-19,0001
1029405,RB11,ENJQC4120-DR000200,OLESTER QC412,CF9008,F01,PP01,"7,035.900",KG,01-06-19,03-06-19,0001
1029406,RB11,ENR20N600-DR000200,U-VAN 20N60,CF9090,F01,PP01,"4,390.000",KG,01-06-19,03-06-19,0002
1029407,RB11,ENR20N600-DR000200,U-VAN 20N60,CF9091,F01,PP01,"8,573.000",KG,01-06-19,03-06-19,0001
1029408,RB11,ENJBVAP50-DR000200,OLESTER BV-APO-50X,CF9002,F01,PP01,"5,198.100",KG,01-06-19,03-06-19,0002
1029409,RB11,ENR20N600-DR000200,U-VAN 20N60,CF9092,F01,PP01,"4,390.000",KG,01-06-19,03-06-19,0002
1029410,RB11,ENR20N600-DR000200,U-VAN 20N60,CF9093,F01,PP01,"8,573.000",KG,01-06-19,03-06-19,0001
1029419,RB11,RKV6131N3-BLK01000,VINYLAX-6131N3,CF9016,F02,PP01,"7,184.880",KG,01-06-19,03-06-19,0002
1029420,RB11,ENGSE2013-BLK01000,ALMATEX SE 2013,CF9002,F02,PP01,"9,519.120",KG,01-06-19,03-06-19,0001
1029421,RB11,RKA9612BT-BLK06000,ACRYLAX-9612BT,CF9050,F02,PP01,"10,457.200",KG,01-06-19,03-06-19,0002
1029423,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CF9025,F02,PP01,"5,736.910",KG,01-06-19,03-06-19,0001
1029425,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CE9044,F02,PP01,"5,200.000",KG,03-06-19,03-06-19,0002
1029426,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CE9045,F02,PP01,"5,150.000",KG,03-06-19,03-06-19,0002
1029427,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CC9011,F02,PP01,"3,480.000",KG,04-06-19,04-06-19,0001
1029428,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CD9013,F02,PP01,580.000,KG,04-06-19,04-06-19,0001
1029429,RB11,RKA3345P0-DR000200,ACRYLAX-3345P,CE9023,F02,PP01,"2,000.000",KG,03-06-19,03-06-19,0002
1029430,RB11,RKA3345P0-DR000200,ACRYLAX-3345P,CE9023,F02,PP01,"3,500.000",KG,03-06-19,03-06-19,0001
1029472,RB11,RKVBW3006-DR000100,BONDWOOD-3006,CE9003,F02,PP01,"2,507.000",KG,03-06-19,03-06-19,0002
1029474,RB11,ENGAL9039-BLK01000,ALMATEX-A-9039,CD9005,F02,PP01,"3,000.000",KG,06-06-19,06-06-19,0001
1029475,RB11,ENGAL9039-BLK01000,ALMATEX-A-9039,CE9006,F02,PP01,"2,000.000",KG,06-06-19,06-06-19,0001
1029477,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CE9046,F02,PP01,"5,280.000",KG,03-06-19,03-06-19,0002
1029478,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CE9047,F02,PP01,"10,900.000",KG,04-06-19,04-06-19,0002
1029479,RB11,RKA890700-BLK01000,ACRYLAX-8907,CE9008,F02,PP01,"10,345.000",KG,05-06-19,05-06-19,0001
1029480,RB11,ENGSE3100-DR000200,ALMATEX SE310,CE9025,F02,PP01,"4,000.000",KG,04-06-19,04-06-19,0001
1029481,RB11,ENGSE2013-DR000200,ALMATEX SE 2013,CF9002,F02,PP01,"2,000.000",KG,04-06-19,04-06-19,0002
1029485,RB11,ENF785500-DR000200,"ALMATEX 785-5,ALMATEX 7855",CF9003,F01,PP01,"3,502.500",KG,03-06-19,05-06-19,0003
1029486,RB11,ENR20N600-DR000200,U-VAN 20N60,CF9094,F01,PP01,"4,390.000",KG,03-06-19,05-06-19,0002
1029487,RB11,ENR20N600-DR000200,U-VAN 20N60,CF9095,F01,PP01,"8,573.000",KG,03-06-19,05-06-19,0001
1029488,RB11,ENJQ193X0-DR000200,OLESTER Q193X,CF9007,F01,PP01,"5,087.100",KG,04-06-19,06-06-19,0001
1029489,RB11,ENR20N600-DR000200,U-VAN 20N60,CF9096,F01,PP01,"4,390.000",KG,04-06-19,06-06-19,0002
1029490,RB11,ENR286000-DR000200,U-VAN 28-60,CF9024,F01,PP01,"6,982.000",KG,04-06-19,06-06-19,0001
