Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1032304,RB11,UGPC60381-DR000200,THAMOL CEP6038-1,CM9003,F03,PP01,"1,040.000",KG,2019-12-02,2019-12-04,0002
1032531,RB11,UGPVB443A-BLK01000,VB-443-A,CM9038,F03,PP01,"5,000.000",KG,2019-12-02,2019-12-04,0001
1032532,RB11,UGPSD1538-DR000200,THAMOL SD-1538,CM9019,F03,PP01,"10,161.600",KG,2019-12-02,2019-12-04,0002
1032533,RB11,UGPSL1960-DR000200,THAMOL SL-1960,CM9012,F03,PP01,605.340,KG,2019-12-02,2019-12-04,0002
1032534,RB11,UGPBHT133-DR000200,BHT-13%,CM9004,F03,PP01,8.800,KG,2019-12-02,2019-12-04,0001
1032535,RB11,UGPPS2980-DR000200,THAMOL PS-298,CM9004,F03,PP01,205.000,KG,2019-12-02,2019-12-04,0001
1032550,RB11,UGMTU125B-DR000230,COSMONATE TUF-125B,CM9012,F03,PP01,"2,000.000",KG,2019-12-12,2019-12-14,0001
1032551,RB11,UGPH1015A-BLK01000,HARD-1015-A,CM9033,F03,PP01,"5,001.860",KG,2019-12-03,2019-12-05,0001
1032552,RB11,UGPC20401-DR000200,THAMOL CEP2040-1,CM9003,F03,PP01,980.640,KG,2019-12-03,2019-12-05,0001
1032553,RB11,UGPSL1733-DR000200,THAMOL SL-1733,CM9012,F03,PP01,606.230,KG,2019-12-03,2019-12-05,0001
1032582,RB11,UGPBK009A-BLK01000,BACK-009-A,CM9027,F03,PP01,"5,127.840",KG,2019-12-04,2019-12-06,0002
1032583,RB11,UGM121THB-DR000250,TUF-121TH-B,CM9003,F03,PP01,"3,000.000",KG,2019-12-16,2019-12-18,0004
1032584,RB11,UGPMP2164-DR000200,MP-2164(D),CM9091,F03,PP01,"1,788.000",KG,2019-12-04,2019-12-06,0002
1032609,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CM9066,F03,PP01,"9,967.740",KG,2019-12-04,2019-12-06,0006
1032612,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CM9034,F03,PP01,"5,401.410",KG,2019-12-06,2019-12-08,0001
1032613,RB11,UGPDS1844-DR000200,THAMOL DS-1844,CM9015,F03,PP01,"8,440.000",KG,2019-12-06,2019-12-08,0001
1032614,RB11,UGPMP2164-DR000200,MP-2164(D),CM9092,F03,PP01,"1,788.000",KG,2019-12-06,2019-12-08,0002
1032615,RB11,UGPSL1960-DR000200,THAMOL SL-1960,CM9013,F03,PP01,"1,015.460",KG,2019-12-06,2019-12-08,0002
1032617,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CM9029,F03,PP01,"10,203.000",KG,2019-12-09,2019-12-11,0001
1032618,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CM9082,F03,PP01,"1,580.000",KG,2019-12-06,2019-12-08,0002
1032619,RB11,UGPHD1440-BLK01100,THAMOL HARD-1440,CM9036,F03,PP01,"5,599.800",KG,2019-12-09,2019-12-11,0002
1032620,RB11,UGPMP2164-DR000200,MP-2164(D),CM9093,F03,PP01,"1,788.000",KG,2019-12-09,2019-12-11,0002
1032621,RB11,UGPSL1733-DR000200,THAMOL SL-1733,CM9013,F03,PP01,"1,023.610",KG,2019-12-09,2019-12-11,0001
1032622,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CM9083,F03,PP01,"1,580.000",KG,2019-12-09,2019-12-11,0002
1032643,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CM9030,F03,PP01,"10,203.000",KG,2019-12-11,2019-12-13,0001
1032644,RB11,UGP125KTH-DR000200,Actcol TUF-125K(TH),CM9011,F03,PP01,"5,197.440",KG,2019-12-11,2019-12-13,0003
1032645,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CM9093,F03,PP01,"5,640.000",KG,2019-12-18,2019-12-20,0001
1032646,RB11,UGPH1015A-BLK01000,HARD-1015-A,CM9034,F03,PP01,"5,063.220",KG,2019-12-11,2019-12-13,0002
1032647,RB11,UGPMP2164-DR000200,MP-2164(D),CM9094,F03,PP01,"1,788.000",KG,2019-12-11,2019-12-13,0002
1032648,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CM9084,F03,PP01,"1,580.000",KG,2019-12-11,2019-12-13,0002
1032716,RB11,UGPY5613R-BLK02500,Y-5613  ,C10110Y,F03,PP01,1.000,KG,2019-12-01,2019-12-03,0001
1032717,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CM9067,F03,PP01,"9,920.360",KG,2019-12-12,2019-12-14,0001
1032718,RB11,UGPHL4560-DR000200,THAMOL HL-456,CM9026,F03,PP01,"5,228.281",KG,2019-12-12,2019-12-14,0002
1032719,RB11,UGPLR1400-DR000200,THAMOL TLR-1400,CM9015,F03,PP01,"7,028.000",KG,2019-12-12,2019-12-14,0001
1032720,RB11,UGPAF1502-DR000200,THAMOL AF-1502,CM9017,F03,PP01,"1,807.360",KG,2019-12-12,2019-12-14,0001
1032721,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CM9085,F03,PP01,"1,580.000",KG,2019-12-12,2019-12-14,0002
1032722,RB11,UGPSL1960-DR000200,THAMOL SL-1960,CM9014,F03,PP01,998.280,KG,2019-12-12,2019-12-14,0002
1032723,RB11,UGPPN1926-BLK01000,THAMOL PN-1926,CM9011,F03,PP01,"9,979.400",KG,2019-12-13,2019-12-15,0002
1032724,RB11,UGPVB443A-BLK01000,VB-443-A,CM9039,F03,PP01,"4,000.000",KG,2019-12-13,2019-12-15,0002
1032725,RB11,UGPHL4560-DR000200,THAMOL HL-456,CM9027,F03,PP01,"5,228.281",KG,2019-12-13,2019-12-15,0002
1032726,RB11,UGPHR1333-DR000200,THAMOL HR-1333,CM9014,F03,PP01,"7,938.000",KG,2019-12-13,2019-12-15,0001
1032727,RB11,UGPMP2164-DR000200,MP-2164(D),CM9095,F03,PP01,"1,788.000",KG,2019-12-13,2019-12-15,0002
1032728,RB11,UGPSL1733-DR000200,THAMOL SL-1733,CM9014,F03,PP01,"1,006.950",KG,2019-12-13,2019-12-15,0001
1032729,RB11,UGMTM1917-DR000230,THAMATE-1917,CM9001,F03,PP01,"5,000.000",KG,2019-12-16,2019-12-18,0001
1032730,RB11,UGPHR1449-DR000200,THAMOL HR-1449,CM9019,F03,PP01,"10,206.000",KG,2019-12-16,2019-12-18,0001
1032731,RB11,UGPMP2164-DR000200,MP-2164(D),CM9096,F03,PP01,"1,788.000",KG,2019-12-16,2019-12-18,0002
1032732,RB11,UGPSL1713-DR000200,THAMOL SL-1713,CM9010,F03,PP01,593.050,KG,2019-12-16,2019-12-18,0001
